,batsman,no_of_outs,balls,batsman_runs,number_of_innings,no_4,no_6,not_outs,finish_ability,consistency,running_run,running_balls,running_btw_wicket,hard_hit_ability
0,SK Raina,161,3895,5407,189,495,194,28,0.14814814814814814,33.58385093167702,2263,3206,0.7058640049906425,0.17689345314505778
1,RG Sharma,155,3731,4914,182,431,194,27,0.14835164835164835,31.703225806451613,2026,3106,0.6522858982614295,0.16751541141785045
2,RV Uthappa,153,3368,4446,170,436,156,17,0.1,29.058823529411764,1766,2776,0.6361671469740634,0.17577197149643706
3,V Kohli,143,4098,5429,169,481,191,26,0.15384615384615385,37.96503496503497,2359,3426,0.6885580852305896,0.16398243045387995
4,S Dhawan,137,3659,4632,158,526,96,21,0.13291139240506328,33.81021897810219,1952,3037,0.6427395456042146,0.16999180103853512
5,G Gambhir,136,3394,4223,151,492,59,15,0.09933774834437085,31.051470588235293,1901,2843,0.6686598663383749,0.16234531526222745
6,KD Karthik,135,2810,3688,162,358,101,27,0.16666666666666666,27.31851851851852,1650,2351,0.7018290089323692,0.16334519572953737
7,PA Patel,126,2352,2874,136,366,49,10,0.07352941176470588,22.80952380952381,1116,1937,0.5761486835312338,0.1764455782312925
8,AM Rahane,116,3132,3850,132,405,74,16,0.12121212121212122,33.189655172413794,1786,2653,0.6732001507727101,0.1529374201787995
9,AT Rayudu,115,2609,3326,138,278,120,23,0.16666666666666666,28.921739130434784,1494,2211,0.6757123473541384,0.15254886929858183
10,SR Watson,114,2552,3608,130,343,177,16,0.12307692307692308,31.649122807017545,1174,2032,0.577755905511811,0.20376175548589343
11,Yuvraj Singh,111,2113,2761,126,217,149,15,0.11904761904761904,24.873873873873872,999,1747,0.5718374356038924,0.1732134406057738
12,AB de Villiers,110,2899,4415,142,357,212,32,0.22535211267605634,40.13636363636363,1715,2330,0.7360515021459227,0.19627457744049673
13,YK Pathan,110,2229,3223,153,263,159,43,0.28104575163398693,29.3,1217,1807,0.673491975650249,0.18932256617317184
14,DA Warner,109,3289,4741,126,459,181,17,0.1349206349206349,43.4954128440367,1819,2649,0.6866742166855417,0.19458802067497719
15,CH Gayle,108,2955,4535,124,373,326,16,0.12903225806451613,41.99074074074074,1087,2256,0.48182624113475175,0.2365482233502538
16,MS Dhoni,105,3199,4477,170,297,207,65,0.38235294117647056,42.63809523809524,2047,2695,0.7595547309833024,0.1575492341356674
17,BB McCullum,104,2172,2891,109,293,129,5,0.045871559633027525,27.798076923076923,945,1750,0.54,0.19429097605893186
18,V Sehwag,99,1740,2728,104,334,106,5,0.04807692307692308,27.555555555555557,756,1300,0.5815384615384616,0.25287356321839083
19,M Vijay,98,2104,2590,102,243,91,4,0.0392156862745098,26.428571428571427,1072,1770,0.6056497175141243,0.15874524714828897
20,MK Pandey,97,2347,2864,119,253,75,22,0.18487394957983194,29.52577319587629,1402,2019,0.6944031698860822,0.13975287601193012
21,KA Pollard,96,1866,2774,132,181,174,36,0.2727272727272727,28.895833333333332,1006,1511,0.6657842488418266,0.1902465166130761
22,JH Kallis,85,2213,2427,95,255,44,10,0.10526315789473684,28.55294117647059,1143,1914,0.5971786833855799,0.1351107094441934
23,DR Smith,84,1755,2385,88,245,117,4,0.045454545454545456,28.392857142857142,703,1393,0.5046661880832735,0.20626780626780628
24,RA Jadeja,80,1561,1951,125,137,65,45,0.36,24.3875,1013,1359,0.7454010301692421,0.1294042280589366
25,SV Samson,80,1692,2235,88,171,89,8,0.09090909090909091,27.9375,1017,1432,0.710195530726257,0.1536643026004728
26,R Dravid,77,1878,2174,82,269,28,5,0.06097560975609756,28.233766233766232,930,1581,0.5882352941176471,0.15814696485623003
27,AC Gilchrist,76,1483,2069,80,239,92,4,0.05,27.223684210526315,561,1152,0.4869791666666667,0.2231962238705327
28,NV Ojha,75,1308,1555,94,121,79,19,0.20212765957446807,20.733333333333334,597,1108,0.5388086642599278,0.1529051987767584
29,WP Saha,74,1345,1780,93,161,59,19,0.20430107526881722,24.054054054054053,782,1125,0.6951111111111111,0.16356877323420074
30,SR Tendulkar,69,1941,2334,78,296,29,9,0.11538461538461539,33.82608695652174,976,1616,0.6039603960396039,0.16743946419371458
31,MA Agarwal,69,983,1276,72,117,52,3,0.041666666666666664,18.492753623188406,496,814,0.6093366093366094,0.17192268565615462
32,Mandeep Singh,68,1226,1547,83,161,33,15,0.18072289156626506,22.75,705,1032,0.6831395348837209,0.15823817292006526
33,AJ Finch,67,1323,1743,73,176,67,6,0.0821917808219178,26.01492537313433,637,1080,0.5898148148148148,0.1836734693877551
34,KC Sangakkara,65,1385,1687,68,195,27,3,0.04411764705882353,25.953846153846154,745,1163,0.6405846947549441,0.16028880866425993
35,DJ Bravo,64,1148,1498,99,118,60,35,0.35353535353535354,23.40625,666,970,0.6865979381443299,0.15505226480836237
36,DPMD Jayawardene,63,1460,1802,78,200,39,15,0.19230769230769232,28.603174603174605,768,1221,0.628992628992629,0.1636986301369863
37,SE Marsh,62,1862,2477,69,266,78,7,0.10144927536231885,39.95161290322581,945,1518,0.6225296442687747,0.18474758324382384
38,GJ Maxwell,61,863,1402,67,110,91,6,0.08955223880597014,22.983606557377048,416,662,0.6283987915407855,0.23290845886442643
39,F du Plessis,59,1460,1874,64,164,59,5,0.078125,31.76271186440678,864,1237,0.698464025869038,0.15273972602739727
40,MK Tiwary,59,1444,1697,83,156,40,24,0.2891566265060241,28.76271186440678,833,1248,0.6674679487179487,0.13573407202216067
41,KK Nair,59,1137,1470,63,158,39,4,0.06349206349206349,24.915254237288135,604,940,0.6425531914893617,0.17326297273526825
42,Harbhajan Singh,55,595,834,86,79,42,31,0.36046511627906974,15.163636363636364,266,474,0.5611814345991561,0.20336134453781513
43,SS Iyer,55,1321,1714,61,150,67,6,0.09836065573770492,31.163636363636364,712,1104,0.644927536231884,0.1642694928084784
44,SPD Smith,54,1557,2037,72,180,49,18,0.25,37.72222222222222,1023,1328,0.7703313253012049,0.147077713551702
45,DA Miller,54,1329,1875,77,127,87,23,0.2987012987012987,34.72222222222222,845,1115,0.757847533632287,0.16102332580887885
46,IK Pathan,53,943,1139,82,87,37,29,0.35365853658536583,21.49056603773585,569,819,0.6947496947496947,0.13149522799575822
47,SC Ganguly,53,1257,1349,56,137,42,3,0.05357142857142857,25.452830188679247,549,1078,0.5092764378478665,0.1424025457438345
48,MEK Hussey,51,1610,1977,58,198,52,7,0.1206896551724138,38.76470588235294,873,1360,0.6419117647058824,0.15527950310559005
49,JP Duminy,51,1631,2041,75,126,79,24,0.32,40.01960784313726,1063,1426,0.7454417952314165,0.12568976088289394
50,DJ Hussey,49,1070,1322,61,90,60,12,0.19672131147540983,26.979591836734695,602,920,0.6543478260869565,0.14018691588785046
51,PP Chawla,49,522,587,75,54,18,26,0.3466666666666667,11.979591836734693,263,450,0.5844444444444444,0.13793103448275862
52,Q de Kock,48,1108,1489,50,156,54,2,0.04,31.020833333333332,541,898,0.6024498886414253,0.18953068592057762
53,RR Pant,48,1068,1792,54,154,94,6,0.1111111111111111,37.333333333333336,612,820,0.7463414634146341,0.23220973782771537
54,KM Jadhav,47,842,1091,70,92,38,23,0.32857142857142857,23.21276595744681,495,712,0.6952247191011236,0.1543942992874109
55,S Badrinath,47,1208,1441,65,154,28,18,0.27692307692307694,30.659574468085108,657,1026,0.6403508771929824,0.15066225165562913
56,KL Rahul,47,1427,2013,58,178,81,11,0.1896551724137931,42.829787234042556,815,1168,0.6977739726027398,0.18149964961457604
57,STR Binny,46,682,882,66,66,35,20,0.30303030303030304,19.17391304347826,408,581,0.7022375215146299,0.14809384164222875
58,SS Tiwary,45,1058,1276,64,93,45,19,0.296875,28.355555555555554,634,920,0.6891304347826087,0.13043478260869565
59,Y Venugopal Rao,44,832,985,52,77,37,8,0.15384615384615385,22.386363636363637,455,718,0.6337047353760445,0.13701923076923078
60,SP Narine,44,457,803,54,94,44,10,0.18518518518518517,18.25,163,319,0.5109717868338558,0.30196936542669583
61,TM Dilshan,43,1001,1153,50,140,24,7,0.14,26.813953488372093,449,837,0.5364396654719236,0.16383616383616384
62,M Vohra,43,767,1016,45,97,39,2,0.044444444444444446,23.627906976744185,394,631,0.624405705229794,0.1773142112125163
63,AD Russell,42,750,1445,52,98,119,10,0.19230769230769232,34.404761904761905,339,533,0.6360225140712945,0.28933333333333333
64,BJ Hodge,42,1112,1400,63,122,43,21,0.3333333333333333,33.333333333333336,654,947,0.6906019007391764,0.14838129496402877
65,AR Patel,42,629,806,62,47,35,20,0.3225806451612903,19.19047619047619,408,547,0.7458866544789763,0.13036565977742448
66,EJG Morgan,40,705,854,45,72,34,5,0.1111111111111111,21.35,362,599,0.6043405676126878,0.150354609929078
67,LRPL Taylor,40,818,1017,54,66,46,14,0.25925925925925924,25.425,477,706,0.6756373937677054,0.13691931540342298
68,JA Morkel,40,682,974,67,61,55,27,0.40298507462686567,24.35,400,566,0.7067137809187279,0.17008797653958943
69,JC Buttler,39,918,1430,45,143,61,6,0.13333333333333333,36.666666666666664,492,714,0.6890756302521008,0.2222222222222222
70,AM Nayar,38,573,672,50,55,20,12,0.24,17.68421052631579,332,498,0.6666666666666666,0.13089005235602094
71,CA Lynn,38,907,1308,41,128,62,3,0.07317073170731707,34.421052631578945,424,717,0.5913528591352859,0.20948180815876516
72,N Rana,38,806,1104,41,85,60,3,0.07317073170731707,29.05263157894737,404,661,0.6111951588502269,0.17990074441687345
73,P Kumar,38,312,340,57,22,17,19,0.3333333333333333,8.947368421052632,150,273,0.5494505494505495,0.125
74,MS Bisla,38,700,798,39,93,23,1,0.02564102564102564,21.0,288,584,0.4931506849315068,0.1657142857142857
75,HH Pandya,37,688,1118,61,73,69,24,0.39344262295081966,30.216216216216218,412,546,0.7545787545787546,0.2063953488372093
76,CL White,36,752,954,45,76,36,9,0.2,26.5,434,640,0.678125,0.14893617021276595
77,Shakib Al Hasan,35,585,757,46,69,20,11,0.2391304347826087,21.62857142857143,361,496,0.7278225806451613,0.15213675213675212
78,KH Pandya,35,610,915,46,87,35,11,0.2391304347826087,26.142857142857142,357,488,0.7315573770491803,0.2
79,R Ashwin,35,339,382,50,32,10,15,0.3,10.914285714285715,194,297,0.6531986531986532,0.12389380530973451
80,DJ Hooda,35,411,535,45,27,24,10,0.2222222222222222,15.285714285714286,283,360,0.7861111111111111,0.12408759124087591
81,MC Henriques,34,753,969,50,87,27,16,0.32,28.5,459,639,0.7183098591549296,0.15139442231075698
82,KS Williamson,34,961,1319,41,111,44,7,0.17073170731707318,38.794117647058826,611,806,0.7580645161290323,0.16129032258064516
83,Ishan Kishan,33,530,711,33,66,34,0,0.0,21.545454545454547,243,430,0.5651162790697675,0.18867924528301888
84,TL Suman,32,573,676,39,55,26,7,0.1794871794871795,21.125,300,492,0.6097560975609756,0.14136125654450263
85,AS Yadav,32,749,1011,35,113,28,3,0.08571428571428572,31.59375,391,608,0.6430921052631579,0.1882510013351135
86,HH Gibbs,32,805,886,36,83,31,4,0.1111111111111111,27.6875,368,691,0.532561505065123,0.14161490683229813
87,AD Mathews,31,573,724,41,44,29,10,0.24390243902439024,23.35483870967742,374,500,0.748,0.1273996509598604
88,A Mishra,31,387,368,54,30,5,23,0.42592592592592593,11.870967741935484,218,352,0.6193181818181818,0.09043927648578812
89,R Bhatia,30,284,342,47,24,13,17,0.3617021276595745,11.4,168,247,0.680161943319838,0.13028169014084506
90,ML Hayden,30,798,1107,32,121,44,2,0.0625,36.9,359,633,0.5671406003159558,0.20676691729323307
91,RA Tripathi,29,551,771,33,73,27,4,0.12121212121212122,26.586206896551722,317,451,0.7028824833702882,0.18148820326678766
92,BA Stokes,28,478,647,32,43,25,4,0.125,23.107142857142858,325,410,0.7926829268292683,0.14225941422594143
93,JD Ryder,28,455,604,29,69,19,1,0.034482758620689655,21.571428571428573,214,367,0.5831062670299727,0.1934065934065934
94,ST Jayasuriya,28,529,768,30,84,39,2,0.06666666666666667,27.428571428571427,198,406,0.4876847290640394,0.23251417769376181
95,R Vinay Kumar,28,274,311,42,21,9,14,0.3333333333333333,11.107142857142858,173,244,0.7090163934426229,0.10948905109489052
96,SA Yadav,28,460,608,42,54,21,14,0.3333333333333333,21.714285714285715,266,385,0.6909090909090909,0.16304347826086957
97,KP Pietersen,28,742,1001,36,91,40,8,0.2222222222222222,35.75,397,611,0.6497545008183306,0.1765498652291105
98,GJ Bailey,27,541,663,36,59,19,9,0.25,24.555555555555557,313,463,0.6760259179265659,0.14417744916820702
99,A Symonds,27,745,974,36,74,41,9,0.25,36.074074074074076,432,630,0.6857142857142857,0.15436241610738255
100,LMP Simmons,27,848,1079,29,109,44,2,0.06896551724137931,39.96296296296296,379,695,0.5453237410071943,0.1804245283018868
101,LR Shukla,27,350,405,33,33,16,6,0.18181818181818182,15.0,177,301,0.5880398671096345,0.14
102,GC Smith,26,664,739,29,94,9,3,0.10344827586206896,28.423076923076923,309,561,0.5508021390374331,0.15512048192771086
103,P Negi,26,288,366,35,27,16,9,0.2571428571428571,14.076923076923077,162,245,0.6612244897959184,0.14930555555555555
104,JP Faulkner,25,384,527,45,36,23,20,0.4444444444444444,21.08,245,325,0.7538461538461538,0.15364583333333334
105,DT Christian,25,371,448,34,22,19,9,0.2647058823529412,17.92,246,330,0.7454545454545455,0.1105121293800539
106,P Shaw,25,423,616,25,73,19,0,0.0,24.64,210,331,0.6344410876132931,0.21749408983451538
107,B Kumar,24,192,190,41,18,3,17,0.4146341463414634,7.916666666666667,100,171,0.5847953216374269,0.109375
108,Gurkeerat Singh,24,342,446,27,47,11,3,0.1111111111111111,18.583333333333332,192,284,0.676056338028169,0.1695906432748538
109,AP Tare,24,272,339,27,40,11,3,0.1111111111111111,14.125,113,221,0.5113122171945701,0.1875
110,M Manhas,23,470,514,38,43,10,15,0.39473684210526316,22.347826086956523,282,417,0.6762589928057554,0.1127659574468085
111,CJ Anderson,22,421,538,29,40,31,7,0.2413793103448276,24.454545454545453,192,350,0.5485714285714286,0.16864608076009502
112,DW Steyn,22,158,166,32,14,3,10,0.3125,7.545454545454546,92,141,0.6524822695035462,0.10759493670886076
113,NLTC Perera,22,305,422,30,23,26,8,0.26666666666666666,19.181818181818183,174,256,0.6796875,0.16065573770491803
114,PC Valthaty,22,414,505,23,61,20,1,0.043478260869565216,22.954545454545453,141,333,0.42342342342342343,0.1956521739130435
115,AL Menaria,21,354,401,23,24,18,2,0.08695652173913043,19.095238095238095,197,312,0.6314102564102564,0.11864406779661017
116,KV Sharma,21,274,317,34,18,14,13,0.38235294117647056,15.095238095238095,161,242,0.6652892561983471,0.11678832116788321
117,J Botha,20,358,409,28,39,5,8,0.2857142857142857,20.45,223,314,0.7101910828025477,0.12290502793296089
118,SK Warne,20,213,198,27,14,6,7,0.25925925925925924,9.9,106,193,0.5492227979274611,0.09389671361502347
119,Azhar Mahmood,19,303,388,21,39,13,2,0.09523809523809523,20.42105263157895,154,251,0.6135458167330677,0.1716171617161716
120,DB Ravi Teja,19,315,375,25,35,9,6,0.24,19.736842105263158,181,271,0.6678966789667896,0.13968253968253969
121,CA Pujara,19,390,390,22,50,4,3,0.13636363636363635,20.526315789473685,166,336,0.49404761904761907,0.13846153846153847
122,CH Morris,19,327,520,37,37,27,18,0.4864864864864865,27.36842105263158,210,263,0.7984790874524715,0.19571865443425077
123,GH Vihari,18,311,280,21,23,1,3,0.14285714285714285,15.555555555555555,182,287,0.6341463414634146,0.07717041800643087
124,V Shankar,18,415,574,27,34,24,9,0.3333333333333333,31.88888888888889,294,357,0.8235294117647058,0.13975903614457832
125,RS Bopara,18,453,531,22,39,16,4,0.18181818181818182,29.5,279,398,0.7010050251256281,0.12141280353200883
126,M Kaif,18,249,259,22,22,6,4,0.18181818181818182,14.38888888888889,135,221,0.6108597285067874,0.11244979919678715
127,R Sathish,17,230,270,24,22,6,7,0.2916666666666667,15.882352941176471,146,202,0.7227722772277227,0.12173913043478261
