,bowler,season,total_runs,balls_bowled,wic_taken,run_concided,economy,concistency,critical_wicket_taken
0,A Kumble,2008,314,236,7,304,7.98,43.43,7
1,A Kumble,2009,353,358,21,347,5.92,16.52,21
2,A Kumble,2010,422,384,17,407,6.59,23.94,17
3,A Mishra,2008,140,122,11,138,6.89,12.55,11
4,A Mishra,2009,300,256,14,294,7.03,21.0,14
5,A Mishra,2010,371,326,17,363,6.83,21.35,17
6,A Mishra,2011,369,322,19,358,6.88,18.84,19
7,A Mishra,2012,381,287,13,377,7.97,29.0,13
8,A Mishra,2013,395,374,21,394,6.34,18.76,21
9,A Mishra,2014,342,228,7,340,9.0,48.57,7
10,A Mishra,2015,312,249,9,310,7.52,34.44,9
11,A Mishra,2016,350,282,13,344,7.45,26.46,13
12,A Mishra,2017,345,237,10,343,8.73,34.3,10
13,A Mishra,2018,271,226,12,270,7.19,22.5,12
14,A Mishra,2019,274,243,10,273,6.77,27.3,10
15,A Nehra,2008,357,279,12,348,7.68,29.0,12
16,A Nehra,2009,354,321,19,346,6.62,18.21,19
17,A Nehra,2010,102,85,6,96,7.2,16.0,6
18,A Nehra,2012,411,289,11,402,8.53,36.55,11
19,A Nehra,2013,319,221,11,316,8.66,28.73,11
20,A Nehra,2014,143,93,8,142,9.23,17.75,8
21,A Nehra,2015,453,384,22,449,7.08,20.41,22
22,A Nehra,2016,200,161,9,199,7.45,22.11,9
23,A Nehra,2017,198,132,8,197,9.0,24.62,8
24,A Singh,2009,100,106,9,95,5.66,10.56,9
25,A Singh,2011,222,175,9,215,7.61,23.89,9
26,A Singh,2012,317,204,10,310,9.32,31.0,10
27,A Singh,2019,130,65,3,122,12.0,40.67,3
28,A Symonds,2008,106,43,0,101,14.78,,0
29,A Symonds,2009,162,147,7,160,6.61,22.86,7
30,A Symonds,2010,385,325,12,372,7.11,31.0,12
31,A Symonds,2011,41,24,1,41,10.25,41.0,1
32,AB Agarkar,2008,211,167,8,207,7.58,25.88,8
33,AB Agarkar,2009,293,199,6,284,8.83,47.33,6
34,AB Agarkar,2010,207,135,4,203,9.2,50.75,4
35,AB Agarkar,2011,236,164,8,231,8.64,28.88,8
36,AB Agarkar,2012,134,90,3,134,8.93,44.67,3
37,AB Agarkar,2013,93,63,0,92,8.86,,0
38,AB Dinda,2008,266,244,9,260,6.54,28.89,9
39,AB Dinda,2009,195,150,4,193,7.8,48.25,4
40,AB Dinda,2010,155,144,9,152,6.46,16.89,9
41,AB Dinda,2011,159,105,5,152,9.09,30.4,5
42,AB Dinda,2012,171,150,9,169,6.84,18.78,9
43,AB Dinda,2013,466,302,16,465,9.26,29.06,16
44,AB Dinda,2014,271,193,5,270,8.42,54.0,5
45,AB Dinda,2015,63,31,0,62,12.19,,0
46,AB Dinda,2016,236,191,11,231,7.41,21.0,11
47,AB Dinda,2017,121,65,1,119,11.17,119.0,1
48,AD Mathews,2009,32,15,0,31,12.8,,0
49,AD Mathews,2010,317,229,8,314,8.3,39.25,8
50,AD Mathews,2012,195,158,7,192,7.41,27.43,7
51,AD Mathews,2013,245,188,5,240,7.82,48.0,5
52,AD Mathews,2015,249,185,7,246,8.08,35.14,7
53,AD Mathews,2017,57,31,0,56,11.03,,0
54,AD Russell,2012,162,97,1,161,10.02,161.0,1
55,AD Russell,2013,68,44,0,68,9.28,,0
56,AD Russell,2014,54,30,1,52,10.8,52.0,1
57,AD Russell,2015,332,253,14,324,7.87,23.14,14
58,AD Russell,2016,301,224,15,291,8.06,19.4,15
59,AD Russell,2018,377,238,13,372,9.5,28.62,13
60,AD Russell,2019,290,182,11,289,9.56,26.27,11
61,AJ Tye,2017,146,128,12,141,6.84,11.75,12
62,AJ Tye,2018,487,351,24,476,8.32,19.83,24
63,AJ Tye,2019,238,137,3,238,10.42,79.33,3
64,AR Patel,2014,424,403,17,405,6.31,23.82,17
65,AR Patel,2015,399,289,13,392,8.28,30.15,13
66,AR Patel,2016,395,294,13,388,8.06,29.85,13
67,AR Patel,2017,366,294,15,362,7.47,24.13,15
68,AR Patel,2018,226,158,3,223,8.58,74.33,3
69,AR Patel,2019,373,307,10,369,7.29,36.9,10
70,AS Rajpoot,2013,37,25,1,35,8.87,35.0,1
71,AS Rajpoot,2016,101,71,3,98,8.54,32.67,3
72,AS Rajpoot,2017,113,87,4,107,7.79,26.75,4
73,AS Rajpoot,2018,246,164,11,239,9.0,21.73,11
74,AS Rajpoot,2019,168,97,3,163,10.39,54.33,3
75,Ankit Sharma,2012,167,147,4,165,6.82,41.25,4
76,Ankit Sharma,2013,17,12,0,17,8.5,,0
77,Ankit Sharma,2014,44,48,4,43,5.5,10.75,4
78,Ankit Sharma,2015,114,86,3,114,7.96,38.0,3
79,Ankit Sharma,2016,84,70,1,84,7.2,84.0,1
80,Ankit Sharma,2017,16,6,0,16,16.0,,0
81,Ankit Sharma,2018,11,6,0,11,11.0,,0
82,Ankit Sharma,2019,22,12,1,22,11.0,22.0,1
83,Anureet Singh,2009,47,34,2,47,8.29,23.5,2
84,Anureet Singh,2015,477,318,15,465,9.0,31.0,15
