,bowler,economy,wic_tak_ability,concistency,num_times_critical_wicket_taken
0,A Kumble,6.68,21.73,23.51,3
1,A Mishra,7.33,20.21,24.38,4
2,A Nehra,7.75,18.54,23.54,1
3,A Singh,8.39,17.74,23.94,1
4,A Symonds,7.73,26.95,33.7,0
5,AB Agarkar,8.61,28.21,39.69,0
6,AB Dinda,8.01,22.83,30.04,1
7,AD Mathews,8.15,29.85,39.96,1
8,AD Russell,8.9,19.42,28.31,1
9,AJ Tye,8.48,15.79,21.92,4
10,AR Patel,7.51,24.58,30.13,1
11,AS Rajpoot,8.99,20.18,29.18,1
12,Ankit Sharma,7.36,29.77,36.31,0
13,Anureet Singh,9.0,23.56,34.61,0
14,Azhar Mahmood,7.75,18.86,24.14,0
15,B Kumar,7.26,20.29,23.95,3
16,B Lee,7.48,36.12,43.8,0
17,BA Stokes,8.49,23.58,32.35,0
18,BB Sran,9.19,27.0,40.84,0
19,Bipul Sharma,8.0,25.65,33.65,0
20,CH Gayle,7.81,32.0,40.22,0
21,CH Morris,8.02,19.28,25.12,2
22,CJ Anderson,10.13,28.64,47.73,0
23,DE Bollinger,7.18,15.74,18.24,1
24,DJ Bravo,8.28,18.4,24.91,2
25,DJ Hussey,9.01,40.38,59.25,0
26,DL Chahar,7.66,21.91,27.7,0
27,DL Vettori,6.83,28.04,31.36,0
28,DP Nannes,7.14,24.46,28.04,0
29,DR Smith,8.95,21.27,31.15,1
30,DS Kulkarni,8.1,21.2,28.16,1
31,DT Christian,7.86,23.97,30.65,0
32,DW Steyn,6.65,22.92,24.79,0
33,GB Hogg,7.55,20.22,24.78,1
34,GJ Maxwell,8.57,27.0,38.31,0
35,HH Pandya,9.12,21.69,32.33,0
36,HV Patel,8.74,20.14,28.65,0
37,Harbhajan Singh,7.05,22.99,26.53,2
38,Harmeet Singh,7.85,20.96,26.81,0
39,I Sharma,8.14,27.86,36.69,1
40,IC Pandey,7.82,25.94,32.83,0
41,IK Pathan,7.7,26.4,33.11,0
42,Imran Tahir,7.96,15.8,20.66,3
43,Iqbal Abdulla,7.16,23.58,27.72,0
44,J Archer,7.94,19.65,25.38,0
45,J Botha,6.92,28.36,32.0,0
46,JA Morkel,8.06,21.11,27.75,1
47,JD Unadkat,8.74,19.74,28.44,2
48,JH Kallis,7.87,27.54,35.28,0
49,JJ Bumrah,7.75,21.66,27.32,0
50,JP Duminy,7.25,30.48,36.26,1
51,JP Faulkner,8.55,21.73,30.14,2
52,K Gowtham,8.37,33.36,45.27,0
53,KA Pollard,8.44,22.66,31.61,1
54,KH Pandya,7.19,24.79,29.33,0
55,KK Cooper,7.9,18.15,22.94,1
56,KV Sharma,7.93,20.38,26.31,2
57,Kuldeep Yadav,8.4,21.49,29.77,1
58,L Balaji,7.96,20.66,26.68,4
59,LR Shukla,8.48,21.6,29.8,0
60,M Ashwin,7.94,28.73,37.53,0
61,M Kartik,7.23,37.97,44.77,0
62,M Morkel,7.6,21.9,27.13,1
63,M Muralitharan,6.67,25.06,26.92,0
64,MA Starc,7.14,17.91,20.38,1
65,MC Henriques,8.21,24.13,32.74,0
66,MG Johnson,8.09,21.18,28.05,0
67,MJ McClenaghan,8.39,18.83,25.82,1
68,MM Patel,7.58,18.53,22.95,3
69,MM Sharma,8.35,19.4,26.8,1
70,MP Stoinis,9.33,25.2,38.33,1
71,MS Gony,8.59,24.86,34.78,0
72,Mohammed Shami,8.95,26.8,39.12,0
73,Mohammed Siraj,9.28,20.07,30.72,1
74,Mustafizur Rahman,7.49,23.25,28.71,0
75,NLTC Perera,8.69,22.97,32.77,0
76,NM Coulter-Nile,7.66,16.08,19.97,1
77,P Awana,8.15,19.74,26.38,1
78,P Kumar,7.61,29.29,36.12,0
79,P Negi,7.84,20.97,26.97,1
80,PJ Sangwan,8.56,24.09,33.6,0
81,PP Chawla,7.9,21.18,27.42,2
82,PP Ojha,7.41,21.83,26.2,0
83,PV Tambe,7.71,24.07,30.46,1
84,R Ashwin,6.75,24.11,26.7,1
85,R Bhatia,7.45,23.37,28.45,1
86,R Dhawan,7.71,28.33,35.56,0
87,R Sharma,7.06,23.38,27.15,0
88,R Vinay Kumar,8.34,20.71,28.27,1
89,RA Jadeja,7.61,23.51,29.41,4
90,RE van der Merwe,6.79,21.67,23.71,0
91,RG Sharma,7.88,22.8,29.33,1
92,RJ Harris,7.53,19.2,23.27,1
93,RP Singh,7.79,20.68,25.98,2
94,RR Powar,7.3,34.0,40.54,0
95,Rashid Khan,6.82,20.11,22.35,0
96,S Aravind,8.06,17.49,23.09,2
97,S Gopal,7.63,15.58,19.63,1
98,S Kaul,8.6,20.47,28.78,1
99,S Nadeem,7.44,30.52,37.48,0
100,S Sreesanth,7.93,22.54,29.12,0
101,SB Jakati,8.05,23.38,30.87,2
102,SK Raina,7.35,37.2,44.72,0
103,SK Trivedi,7.53,23.82,29.29,1
104,SK Warne,7.19,21.46,25.39,1
105,SL Malinga,7.13,17.39,19.94,7
106,SN Thakur,8.92,20.69,30.44,0
107,SP Narine,6.76,21.3,23.55,7
108,SR Watson,7.77,23.09,29.25,1
109,ST Jayasuriya,7.89,23.15,30.0,0
110,STR Binny,7.53,26.57,33.13,0
111,SW Tait,7.63,21.88,26.67,0
112,Sandeep Sharma,7.67,18.54,23.25,2
113,Shakib Al Hasan,7.44,23.03,28.15,0
114,TA Boult,8.75,21.08,30.24,0
115,TG Southee,8.65,33.18,47.04,0
116,TM Dilshan,8.03,55.0,73.2,0
117,UT Yadav,8.41,21.74,29.71,2
118,V Kohli,8.63,64.5,92.0,0
119,VR Aaron,8.59,23.14,32.12,0
120,WD Parnell,7.36,22.07,25.96,0
121,YK Pathan,7.31,28.19,33.69,0
122,YS Chahal,7.9,18.35,23.66,2
123,Yuvraj Singh,7.44,24.47,29.94,2
124,Z Khan,7.55,22.08,27.01,1
